Bateau,Acheteur,poidsmontant,poidsqte,poidprix
540223,138,568,57.5,9.8782608696
540223,163,4516.9,437.5,10.324342857
540223,296,1465.5,152,9.6414473684
540223,368,483.2,56,8.6285714286
540223,386,408,48,8.5
540223,392,36,4,9
540223,526,3297.9,360,9.1608333333
540223,558,900,117,7.6923076923
540223,597,7455.3,883.5,8.4383701188
547166,2,518.25,90.5,5.726519337
547166,12,352.25,29.5,11.940677966
547166,15,52.35,21,2.4928571429
547166,32,225,9,25
547166,86,222.3,26,8.55
547166,138,2389.1,312.7,7.6402302526
547166,163,2958,331,8.9365558912
547166,296,105.66,42,2.5157142857
547166,317,122.4,5.1,24
547166,368,760.5,90,8.45
547166,382,230.25,41,5.6158536585
547166,386,822.35,89,9.2398876404
547166,508,36.68,4.5,8.1511111111
547166,519,696,96.6,7.2049689441
547166,526,262.8,124,2.1193548387
547166,528,18.5,32,0.578125
547166,534,71.3,23,3.1
547166,543,2115.98,354.5,5.9689139633
547166,555,95,10,9.5
547166,558,1901.72,344,5.528255814
547166,592,40,20,2
547166,597,4011.2,493,8.1363083164
547166,613,95,10,9.5
561758,30,4058.5,430,9.438372093
561758,86,3798.9,469.5,8.0913738019
561758,367,1575.5,165,9.5484848485
561758,392,1606.8,158,10.169620253
561758,508,390,30,13
561758,526,25281.5,2796.7,9.0397611471
561758,543,107.9,70,1.5414285714
561758,552,3308,362,9.138121547
561758,558,2867.7,1436.1,1.9968665135
561758,597,12040,1271,9.4728560189
561758,599,987,94,10.5
562367,2,832,64,13
562367,12,1968.5,246,8.0020325203
562367,30,771,75,10.28
562367,32,1786,215,8.3069767442
562367,86,1114.1,117,9.5222222222
562367,163,2535,220,11.522727273
562367,273,133.6,67,1.9940298507
562367,296,1100.3,232,4.7426724138
562367,321,456.3,136,3.3551470588
562367,325,1148.4,125,9.1872
562367,344,3606.6,360,10.018333333
562367,347,1971.5,232,8.4978448276
562367,367,423.5,41,10.329268293
562367,368,320,32,10
562367,375,553,86,6.4302325581
562367,506,208,26,8
562367,526,6978.4,838.5,8.3224806202
562367,538,160,16,10
562367,543,2351.75,311,7.5618971061
562367,549,136.5,13,10.5
562367,552,592,74,8
562367,554,360,36,10
562367,566,2785,319,8.7304075235
562367,592,2457.5,223,11.020179372
562367,597,3125.5,342,9.1388888889
562367,602,157.5,15,10.5
562367,612,726,66,11
562974,12,300,30,10
562974,32,350,35,10
562974,325,338,26,13
562974,344,190,19,10
562974,347,241.5,23,10.5
562974,368,510,50,10.2
562974,375,952,119,8
562974,506,747,83,9
562974,526,1470,180,8.1666666667
562974,534,440,40,11
562974,543,5738.55,693,8.2807359307
562974,566,774,93,8.3225806452
562974,592,480,60,8
562974,597,1440,180,8
563029,2,1512,540,2.8
563029,207,1272,480,2.65
563029,296,301.5,90,3.35
563029,367,201,60,3.35
563029,386,174,60,2.9
563029,391,100.5,30,3.35
571556,2,52.2,2.9,18
571556,15,7.7,5,1.54
571556,32,1406.5,159,8.8459119497
571556,77,27.5,5.5,5
571556,86,120.8,32.1,3.7632398754
571556,273,95.4,40,2.385
571556,296,537.7,94,5.720212766
571556,321,724.1,100.2,7.2265469062
571556,325,897.3,114,7.8710526316
571556,344,240,30,8
571556,347,1436,196,7.3265306122
571556,367,1325.75,136.3,9.726705796
571556,368,2269,225.5,10.062084257
571556,375,295,44,6.7045454545
571556,382,216,24,9
571556,386,82.8,18,4.6
571556,526,4392.21,570.8,7.694831815
571556,534,1796,184,9.7608695652
571556,538,501.6,50.2,9.9920318725
571556,543,1918.48,273.1,7.024826071
571556,545,54,32,1.6875
571556,548,15.2,20,0.76
571556,554,866.6,65.8,13.170212766
571556,558,202.7,50.2,4.0378486056
571556,566,3153.5,405,7.7864197531
571556,571,13.36,6.3,2.1206349206
571556,580,6.04,3.8,1.5894736842
571556,591,1525,163,9.3558282209
571556,592,844.5,81,10.425925926
571556,597,1581.85,243,6.5096707819
571556,604,22.2,9.6,2.3125
571556,610,162,29.1,5.5670103093
571731,2,315.2,27.9,11.297491039
571731,32,261,37,7.0540540541
571731,77,682.45,114.1,5.9811568799
571731,157,197.4,112,1.7625
571731,317,117,40,2.925
571731,321,1462.8,364.5,4.0131687243
571731,344,946.8,123.5,7.6663967611
571731,347,1837.1,304.6,6.0311884439
571731,367,799.55,93.5,8.5513368984
571731,368,40,16,2.5
571731,391,91.3,40,2.2825
571731,502,303.8,31,9.8
571731,508,36,4.5,8
571731,518,24,8,3
571731,526,4922.7,731.4,6.7305168171
571731,528,137,183,0.7486338798
571731,534,528,61,8.6557377049
571731,538,71,16.7,4.251497006
571731,539,124.66,37.9,3.289182058
571731,543,291.7,227,1.2850220264
571731,545,74.4,43.5,1.7103448276
571731,547,24,12,2
571731,548,184.86,31.6,5.85
571731,551,39,13,3
571731,552,2629.25,534.5,4.9190832554
571731,566,106,53,2
571731,570,44.7,10.3,4.3398058252
571731,571,59.4,13,4.5692307692
571731,580,31.5,2.1,15
571731,581,77.5,20,3.875
571731,597,3741.5,468,7.9946581197
571731,604,50.5,5.5,9.1818181818
571731,610,50.9,21.4,2.3785046729
571894,2,124,43,2.8837209302
571894,15,314.3,204,1.5406862745
571894,32,87,58,1.5
571894,34,22.5,75,0.3
571894,86,162.2,128,1.2671875
571894,138,30,25,1.2
571894,296,228.8,216,1.0592592593
571894,321,494,91,5.4285714286
571894,325,3463,3223,1.0744647844
571894,367,136,84,1.619047619
571894,368,150,300,0.5
571894,375,148,148,1
571894,382,876.7,1087,0.8065317387
571894,386,341.25,342,0.9978070175
571894,392,150,150,1
571894,502,484,267,1.8127340824
571894,518,48,40,1.2
571894,526,3699.7,4126.3,0.8966144003
571894,528,550,500,1.1
571894,534,27,10,2.7
571894,543,600.65,1812,0.3314845475
571894,545,99.5,54,1.8425925926
571894,552,60,30,2
571894,554,619,69,8.9710144928
571894,558,968.9,581,1.6676419966
571894,566,46,23,2
571894,571,63,7,9
571894,580,551.1,153,3.6019607843
571894,597,3926.75,2697,1.4559695958
571894,602,157,51,3.0784313725
571894,604,20,25,0.8
571894,610,33,22,1.5
579255,2,144,11,13.090909091
579255,12,620,70,8.8571428571
579255,32,380,38,10
579255,34,9.75,15,0.65
579255,86,360,30,12
579255,163,992.8,98,10.130612245
579255,296,330,45,7.3333333333
579255,321,190.4,60.6,3.1419141914
579255,325,3330,325,10.246153846
579255,344,1624.8,156,10.415384615
579255,347,2987,435,6.8666666667
579255,367,1136,107,10.61682243
579255,368,773,71,10.887323944
579255,375,2929,302,9.6986754967
579255,386,87.4,19,4.6
579255,526,5896.4,675.3,8.7315267289
579255,534,510,60,8.5
579255,538,22.5,3,7.5
579255,542,20.13,3.3,6.1
579255,543,939.6,678,1.385840708
579255,552,930,110,8.4545454545
579255,558,310,31,10
579255,566,1884.5,262,7.1927480916
579255,591,1193.5,135,8.8407407407
579255,592,740,71,10.422535211
579255,597,3259.9,420,7.7616666667
579255,599,1764,180,9.8
588772,2,35.5,4.3,8.2558139535
588772,12,1094,127,8.6141732283
588772,32,1440,170,8.4705882353
588772,34,7.2,9,0.8
588772,86,96,12,8
588772,273,94.04,43.3,2.1718244804
588772,296,1738.18,234.8,7.4028109029
588772,321,323,107,3.0186915888
588772,325,2319,256,9.05859375
588772,344,2461,283,8.6961130742
588772,347,1565.5,170,9.2088235294
588772,367,1036,99.5,10.412060302
588772,368,2464,284,8.676056338
588772,375,752.8,101,7.4534653465
588772,386,1713.8,203,8.442364532
588772,391,31.5,4.5,7
588772,506,809,84,9.630952381
588772,526,8819,1123.8,7.8474817583
588772,534,1930,208,9.2788461538
588772,538,725.2,74,9.8
588772,543,2997.95,475,6.3114736842
588772,545,58.85,20.7,2.8429951691
588772,552,1416,177,8
588772,554,144,5.5,26.181818182
588772,558,2410.5,312.5,7.7136
588772,566,2618.5,314,8.3391719745
588772,571,172.7,74.5,2.3181208054
588772,580,2,2,1
588772,591,293,28,10.464285714
588772,592,1864,206,9.0485436893
588772,597,2863.5,443.7,6.4536849222
588772,602,36.4,4.8,7.5833333333
588772,610,12.75,1.7,7.5
588772,613,34,17,2
592342,2,242,54,4.4814814815
592342,7,49.25,21,2.3452380952
592342,32,210,21,10
592342,77,719.85,137.8,5.2238751814
592342,86,1421,145,9.8
592342,157,288.43,177.1,1.6286278938
592342,273,22.5,9,2.5
592342,317,129.8,34.3,3.7842565598
592342,321,894.6,112.3,7.9661620659
592342,344,45,15,3
592342,347,1899.3,247.3,7.6801455722
592342,367,1082.3,109.9,9.8480436761
592342,382,1013,98,10.336734694
592342,391,153.6,26.8,5.7313432836
592342,502,1046.25,102.5,10.207317073
592342,526,11387.65,1453.3,7.8357187091
592342,528,167.7,179,0.9368715084
592342,534,4730.25,528.5,8.9503311258
592342,538,12,4,3
592342,539,370.5,84.9,4.3639575972
592342,543,1757.98,449,3.9153229399
592342,545,76.95,27.3,2.8186813187
592342,547,33,11,3
592342,548,326.9,79,4.1379746835
592342,551,300,30,10
592342,552,5124.27,684.5,7.4861504748
592342,558,100.7,29,3.4724137931
592342,566,2271,276.5,8.2133815552
592342,570,4.5,0.6,7.5
592342,571,211.75,59,3.5889830508
592342,580,27,13.5,2
592342,581,42.5,17,2.5
592342,592,44.2,2.6,17
592342,597,4416.65,545.5,8.0965169569
592342,604,6,3,2
592342,610,16,5,3.2
595005,163,340,34,10
595005,317,38,19,2
595005,321,583,181.5,3.2121212121
595005,347,700.5,135,5.1888888889
595005,382,170,20,8.5
595005,526,2718.8,337,8.0676557864
595005,534,543.2,56,9.7
595005,539,24,50,0.48
595005,543,1233.5,197,6.2614213198
595005,545,335,67,5
595005,548,70,7,10
595005,552,567.1,103,5.5058252427
595005,566,476.5,52.5,9.0761904762
595005,597,405,43,9.4186046512
598337,7,4.5,3,1.5
598337,77,303.85,101.1,3.0054401583
